45.91899037361145
         121232705 function calls (108095604 primitive calls) in 60.957 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
73153/308    0.094    0.000    0.283    0.001 banned_component.py:9(visit)
  1042586    0.215    0.000    0.276    0.000 ast.py:255(iter_fields)
    63062    0.222    0.000    0.275    0.000 numeric.py:136(ones)
        6    0.000    0.000    0.275    0.046 __init__.py:299(loads)
        6    0.000    0.000    0.275    0.046 decoder.py:332(decode)
        6    0.271    0.045    0.274    0.046 decoder.py:343(raw_decode)
        1    0.000    0.000    0.274    0.274 _param_validation.py:1(<module>)
        1    0.000    0.000    0.273    0.273 utils.py:29(small_set_runnable_code_examples)
        1    0.000    0.000    0.273    0.273 validation.py:1(<module>)
111977/286    0.179    0.000    0.272    0.001 s_expression_render.py:8(to_pair)
36665/26637    0.027    0.000    0.271    0.000 parsed_ast.py:385(to_ns_s_exp)
        1    0.000    0.000    0.271    0.271 _array_api.py:1(<module>)
111977/286    0.041    0.000    0.271    0.001 s_expression_render.py:31(<listcomp>)
    56826    0.030    0.000    0.268    0.000 classify_nodes.py:242(<listcomp>)
44823/752    0.109    0.000    0.266    0.000 parse_s_exp.py:59(s_exp_to_parsed_ast)
        1    0.000    0.000    0.262    0.262 fixes.py:1(<module>)
     4484    0.004    0.000    0.260    0.000 ast.py:33(parse)
21719/752    0.015    0.000    0.258    0.000 parse_s_exp.py:93(<listcomp>)
17242/13059    0.010    0.000    0.241    0.000 parsed_ast.py:391(<listcomp>)
   223779    0.158    0.000    0.234    0.000 type.py:206(subst_type_vars)
      286    0.001    0.000    0.229    0.001 renderer.py:18(_render)
      100    0.001    0.000    0.229    0.002 artist.py:159(_update_set_signature_and_docstring)
223954/286    0.089    0.000    0.228    0.001 renderer.py:40(_render_one_line)
335645/1144    0.066    0.000    0.227    0.000 renderer.py:45(<genexpr>)
        1    0.000    0.000    0.225    0.225 _stats_py.py:1(<module>)
       99    0.000    0.000    0.225    0.002 artist.py:126(__init_subclass__)
    27738    0.028    0.000    0.222    0.000 pull_scope.py:36(visit_Name)
    63027    0.219    0.000    0.219    0.000 type_preorder_mask.py:29(<listcomp>)
44823/752    0.197    0.000    0.217    0.000 s_expression_render.py:40(from_pair)
   697572    0.215    0.000    0.215    0.000 collect_preorder_symbols.py:40(<genexpr>)
  1350286    0.209    0.000    0.212    0.000 {built-in method _abc._abc_instancecheck}
     4060    0.003    0.000    0.210    0.000 <frozen importlib._bootstrap_external>:1496(find_spec)
   153049    0.080    0.000    0.207    0.000 production.py:64(reindex)
4061/4060    0.013    0.000    0.206    0.000 <frozen importlib._bootstrap_external>:1464(_get_spec)
        6    0.000    0.000    0.200    0.033 _base.py:1(<module>)
   282819    0.133    0.000    0.199    0.000 export_as_dsl.py:193(clean_type)
482554/482434    0.142    0.000    0.197    0.000 type.py:237(walk_type_nodes)
51036/51021    0.080    0.000    0.190    0.000 type.py:231(subst_type_vars)
   573676    0.190    0.000    0.190    0.000 <string>:2(__init__)
    18036    0.015    0.000    0.184    0.000 __init__.py:272(_compile)
    63027    0.061    0.000    0.183    0.000 preorder_mask.py:81(on_exit)
18617/17624    0.013    0.000    0.180    0.000 typing.py:349(inner)
     5486    0.045    0.000    0.180    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
      112    0.000    0.000    0.179    0.002 artist.py:1841(kwdoc)
      342    0.001    0.000    0.170    0.000 dataclasses.py:1219(wrap)
      342    0.012    0.000    0.169    0.000 dataclasses.py:884(_process_class)
        7    0.001    0.000    0.168    0.024 functional.py:1(<module>)
  1720359    0.168    0.000    0.168    0.000 {method 'pop' of 'list' objects}
        7    0.014    0.002    0.166    0.024 utils.py:40(annotation)
        1    0.000    0.000    0.164    0.164 offsetbox.py:1(<module>)
   126880    0.163    0.000    0.163    0.000 {built-in method numpy.array}
    27738    0.020    0.000    0.162    0.000 annotator.py:163(visit_Name)
  241/196    0.000    0.000    0.161    0.001 <frozen importlib._bootstrap_external>:1239(exec_module)
      488    0.002    0.000    0.161    0.000 _compiler.py:738(compile)
  241/196    0.115    0.000    0.160    0.001 {built-in method _imp.exec_dynamic}
   102042    0.054    0.000    0.160    0.000 type_signature.py:119(astype)
   815140    0.159    0.000    0.159    0.000 type.py:134(children)
  1327741    0.158    0.000    0.158    0.000 production.py:102(get_index)
    56878    0.027    0.000    0.157    0.000 ast.py:380(walk)
      112    0.005    0.000    0.154    0.001 artist.py:1602(pprint_setters)
    60604    0.057    0.000    0.153    0.000 parsed_ast.py:407(to_ns_s_exp)
88261/752    0.052    0.000    0.149    0.000 parser.py:56(parse_atom)
     6382    0.002    0.000    0.149    0.000 __init__.py:225(compile)
87509/752    0.068    0.000    0.148    0.000 parser.py:71(parse_tail)
        1    0.000    0.000    0.148    0.148 distributions.py:1(<module>)
553703/552565    0.073    0.000    0.148    0.000 {built-in method builtins.hasattr}
        2    0.000    0.000    0.142    0.071 imports.py:162(__bool__)
        2    0.000    0.000    0.142    0.071 imports.py:154(_check_available)
        2    0.000    0.000    0.142    0.071 imports.py:128(_check_requirement)
        2    0.000    0.000    0.142    0.071 __init__.py:959(require)
        2    0.000    0.000    0.142    0.071 __init__.py:773(resolve)
   596334    0.141    0.000    0.141    0.000 type_string_repr.py:134(<listcomp>)
9995/8293    0.015    0.000    0.137    0.000 parsed_ast.py:579(to_ns_s_exp)
   151192    0.034    0.000    0.134    0.000 dsl.py:48(<lambda>)
  1327741    0.131    0.000    0.131    0.000 production.py:99(base_symbol)
   238585    0.130    0.000    0.131    0.000 {method '__reduce_ex__' of 'object' objects}
      342    0.001    0.000    0.130    0.000 dataclasses.py:1202(dataclass)
     6695    0.007    0.000    0.129    0.000 defining_statement_handler.py:22(on_child_enter)
  1386291    0.127    0.000    0.127    0.000 type.py:148(subst_type_vars)
    51021    0.056    0.000    0.127    0.000 dsl_factory.py:150(<listcomp>)
    56681    0.017    0.000    0.126    0.000 {method 'extend' of 'collections.deque' objects}
   818445    0.126    0.000    0.126    0.000 {method 'rpartition' of 'str' objects}
     4050    0.011    0.000    0.126    0.000 artist.py:1474(get_valid_values)
63027/200    0.075    0.000    0.122    0.001 export_as_dsl.py:277(replace_nodes)
119805/600    0.024    0.000    0.121    0.000 export_as_dsl.py:282(<genexpr>)
   144298    0.085    0.000    0.115    0.000 production.py:105(with_index)
     2945    0.002    0.000    0.115    0.000 inspect.py:3278(signature)
        1    0.000    0.000    0.115    0.115 pruning.py:1(<module>)
        1    0.000    0.000    0.113    0.113 _torchmetrics.py:1(<module>)
     2945    0.003    0.000    0.113    0.000 inspect.py:3024(from_callable)
        2    0.000    0.000    0.111    0.056 module.py:1(<module>)
  1004517    0.111    0.000    0.111    0.000 production.py:110(type_signature)
3859/2955    0.019    0.000    0.110    0.000 inspect.py:2428(_signature_from_callable)
   112898    0.059    0.000    0.109    0.000 ast.py:267(iter_child_nodes)
       30    0.000    0.000    0.109    0.004 __init__.py:2820(requires)
    63027    0.066    0.000    0.108    0.000 ordering.py:24(order)
        1    0.000    0.000    0.107    0.107 rcsetup.py:1(<module>)
   238585    0.076    0.000    0.107    0.000 copyreg.py:104(__newobj__)
      604    0.031    0.000    0.106    0.000 dsl.py:39(<dictcomp>)
        7    0.011    0.002    0.104    0.015 parameterized.py:576(parameterized_expand_wrapper)
        3    0.000    0.000    0.103    0.034 generic.py:1(<module>)
       28    0.000    0.000    0.103    0.004 __init__.py:3106(_dep_map)
       26    0.000    0.000    0.103    0.004 __init__.py:3114(_compute_dependencies)
        1    0.000    0.000    0.102    0.102 pyplot.py:1(<module>)
        1    0.000    0.000    0.102    0.102 arrow_reader.py:1(<module>)
        1    0.000    0.000    0.101    0.101 trainer.py:1(<module>)
     1192    0.006    0.000    0.099    0.000 dataclasses.py:413(_create_fn)
      401    0.009    0.000    0.099    0.000 dsl.py:162(<dictcomp>)
   255110    0.078    0.000    0.098    0.000 type.py:228(__post_init__)
      488    0.002    0.000    0.098    0.000 _parser.py:970(parse)
